TERM,term,CRN,Course,ATTR,TITLE,DESCRIPTION,MEETINGDAYS,BLDG_ROOM,CLAS_DAYS,CLASTIME,CLAS_BLDGROOM,CMT1_DAYS,CMT1TIME,CMT1_BLDGROOM,SWAP_ENRL,SWAP_MAXENRL,PROJECTEDENRL,INST_LIN,INSTRUCTOR,XLST_GRP,XLST_CRSE,COLLEG,Sustainable,Justification,Keyword Match,Course WS Match,WS/Sustainable Faculty Match,Prev Identified Match,CC Encounter Match
202510,spring 2025,15177,REL 096-010,,Global Religions & Environment,"This course addresses questions about the intersection of religion and ecology, with particular attention to the religious traditions of Hinduism, Buddhism, East Asian religions, Christianity, Judaism, Islam, and Indigenous traditions. It grapples with the ongoing ecological crisis, reflects on how we might change the ""way things are,"" and considers the insights that religious traditions offer as an important part of the response. The course explores both religious worldviews and practices, with a special focus on issues of eco-justice.",T R,PA 503,,-, ,,-, ,23,19,20,800091270,"Noh, Minjung",VA,"EVST 096-010 (15179), GS 096-010 (15180)",Arts & Sciences,,,,,,,
202510,spring 2025,13997,REL 197-011,,Global Femin PostSecular World,"In this course, we will explore the multifaceted world of global women’s religiosity through transnational and global feminist perspectives. Our central questions will be: How have colonialism, modern nation-building, Western Enlightenment ideals, global capitalism, migration, racism, and xenophobia shaped women’s religious lives in different parts of the world? What role has religion and spirituality played in the modern lives of people of diverse genders impacted by the coloniality of secularism? As we reflect on these questions, our main goal will be to create a framework for analyzing what constitutes women’s experiences—using categories such as class, gender, sexuality, political economy, ethnicity, race, nation, and others. Importantly, the category of “women” itself is not fixed and will be critically questioned throughout the course. This framework will help us bring insights to activism for justice.",T R,CU 215,,-, ,,-, ,13,19,19,800091270,"Noh, Minjung",VB,"GS 197-011 (15184), WGSS 197-011 (15198)",Arts & Sciences,,,,,,,
202510,spring 2025,15198,WGSS 197-011,,Global Femin Postsecular World,"In this course, we will explore the multifaceted world of global women’s religiosity through transnational and global feminist perspectives. Our central questions will be: How have colonialism, modern nation-building, Western Enlightenment ideals, global capitalism, migration, racism, and xenophobia shaped women’s religious lives in different parts of the world? What role has religion and spirituality played in the modern lives of people of diverse genders impacted by the coloniality of secularism? As we reflect on these questions, our main goal will be to create a framework for analyzing what constitutes women’s experiences—using categories such as class, gender, sexuality, political economy, ethnicity, race, nation, and others. Importantly, the category of “women” itself is not fixed and will be critically questioned throughout the course. This framework will help us bring insights to activism for justice.",T R,CU 215,,-, ,,-, ,13,19,19,800091270,"Noh, Minjung",VB,"GS 197-011 (15184), REL 197-011 (13997)",Arts & Sciences,,,,,,,
202510,spring 2025,15226,ETH 003-010,,Death and Dying: Religious and Ethical Perspectives,"Introduces students to the study of religion, world religious traditions and ethics through an exploration of death and dying. Rituals, practices and texts focused on death provide the basis for comparative study of Asian and Western religious approaches to the meaning and mystery of death as it confronts individuals and communities. Attention will also be given to moral justification for deaths brought about by human actions (i.e., killings). Specific issues include suicide, war deaths, abortion, euthanasia and state-sponsored execution.",T R,RB 061,,-, ,,-, ,40,40,40,813296504,"Steffen, Lloyd",VC,"PHIL 003-010 (15223), REL 003-010 (15209)",Arts & Sciences,,,,,,,
202510,spring 2025,15223,PHIL 003-010,,"Global Religion, Global Ethics","Introduction to philosophical and religious modes of moral thinking, with attention given to ethical issues as they arise cross-culturally in and through religious traditions. The course will reference the United Nations Millennium Goals to consider family life and the role of women, social justice, the environment, and ethical ideals. Particular focus varies but may include one or more of the following: abortion and reproductive health, the death penalty, religiously motivated violence, and problems of personal disorder (heavy drinking, anorexia, vengeance).",T R,RB 061,,-, ,,-, ,40,40,40,813296504,"Steffen, Lloyd",VC,"ETH 003-010 (15226), REL 003-010 (15209)",Arts & Sciences,,,,,,,
202510,spring 2025,15209,REL 003-010,,"Global Religion, Global Ethics","Introduction to philosophical and religious modes of moral thinking, with attention given to ethical issues as they arise cross-culturally in and through religious traditions. The course will reference the United Nations Millennium Goals to consider family life and the role of women, social justice, the environment, and ethical ideals. Particular focus varies but may include one or more of the following: abortion and reproductive health, the death penalty, religiously motivated violence, and problems of personal disorder (heavy drinking, anorexia, vengeance).",T R,RB 061,,-, ,,-, ,40,40,40,813296504,"Steffen, Lloyd",VC,"ETH 003-010 (15226), PHIL 003-010 (15223)",Arts & Sciences,,,,,,,
202440,fall 2024,45638,MAT 397-010,,Biopolymers,,,ONLINE ,,-, ,,-, ,6,10,10,892388732,"Multari, Caroline",VD,MAT 497-010 (45639),Engineering,,,,,,,
202440,fall 2024,45639,MAT 497-010,,Biopolymers,,,ONLINE ,,-, ,,-, ,6,10,10,892388732,"Multari, Caroline",VD,MAT 397-010 (45638),Engineering,,,,,,,
202510,spring 2025,15234,JST 081-010,,Jewish Mysticism,"This course will examine both the history and the central texts and ideas of the Jewish mystical tradition. We will read a broad range of texts, including the ancient Sefer Yetzirah or Book of Creation, the Zohar, the works of Isaac Luria and his disciples, and the writings of some of the 18th and 19th century Hasidic rabbis. We will also explore the contemporary emergence of Kabbalah and the activities of the Kabbalah Center in contemporary America.",M W,MG 475,,-, ,,-, ,9,19,19,837383695,"Lachter, Hartley",VD,REL 081-010 (15231),Arts & Sciences,,,,,,,
202510,spring 2025,15238,JST 112-010,,The Beginnings of Judaism,"The variety of approaches to Judaism in the period following the Babylonian exile through the second century C.E. The literature studied will include Apocrypha, Pseudepigrapha, and the Dead Sea Scrolls.",T R,ST 190,,-, ,,-, ,15,19,19,849510916,"Wright, Benjamin",VE,REL 112-010 (15237),Arts & Sciences,,,,,,,
202510,spring 2025,15237,REL 112-010,,The Beginnings of Judaism,"The variety of approaches to Judaism in the period following the Babylonian exile through the second century C.E. The literature studied will include Apocrypha, Pseudepigrapha, and the Dead Sea Scrolls.",T R,ST 190,,-, ,,-, ,15,19,19,849510916,"Wright, Benjamin",VE,JST 112-010 (15238),Arts & Sciences,,,,,,,
202510,spring 2025,15248,GS 143-010,,Religious Nationalism in a Global Perspective,"Religion has become a renewed political force on the world stage in recent years. This course will focus on how religion has often provided both the Ideological language and the organizing principles for many modern nationalisms. Our exploration of this topic will take the form of case studies from various parts of the world, including but not limited to Pakistan, Israel, No. Ireland, India, Iran and USA.",M W,MG 111,,-, ,,-, ,41,40,40,824848730,"Hussain, Khurram",VF,REL 143-010 (15246),Arts & Sciences,,,,,,,
202510,spring 2025,15246,REL 143-010,,Rel Nationalism in Glob Perspe,"Religion has become a renewed political force on the world stage in recent years. This course will focus on how religion has often provided both the Ideological language and the organizing principles for many modern nationalisms. Our exploration of this topic will take the form of case studies from various parts of the world, including but not limited to Pakistan, Israel, No. Ireland, India, Iran and USA.",M W,MG 111,,-, ,,-, ,41,40,40,824848730,"Hussain, Khurram",VF,GS 143-010 (15248),Arts & Sciences,,,,,,,
202510,spring 2025,15252,ASIA 145-010,"CC, HE, HU, W",Islam And The Modern World,"Examines how numerous Muslim thinkers-religious scholars, modernists, and Islamists-have responded to the changes and challenges of the colonial and post-colonial eras. Special emphasis is placed on the public debates over Islamic authority and authenticity in contemporary South Asia.",M W,MG 101,,-, ,,-, ,26,19,19,824848730,"Hussain, Khurram",VG,"GS 145-010 (15253), REL 145-010 (15250)",Arts & Sciences,,,,,,,
202510,spring 2025,15250,REL 145-010,,Islam And The Modern World,"Examines how numerous Muslim thinkers-religious scholars, modernists, and Islamists-have responded to the changes and challenges of the colonial and post-colonial eras. Special emphasis is placed on the public debates over Islamic authority and authenticity in contemporary South Asia.",M W,MG 101,,-, ,,-, ,26,19,19,824848730,"Hussain, Khurram",VG,"ASIA 145-010 (15252), GS 145-010 (15253)",Arts & Sciences,,,,,,,
202510,spring 2025,13948,HMS 151-010,,"Judaism, Medicine, and Bioethics","This class traces the relationship between Jews and medicine from 1100 to 2020. How does Jewish religion and culture cultivate an affinity for the healing arts? How does Jewish law, ethics, and culture inform contemporary bioethics?",M W,PA 360,,-, ,,-, ,41,45,45,837383695,"Lachter, Hartley",VH,"JST 151-010 (13947), PHIL 151-010 (13946), REL 151-010 (13945)",Arts & Sciences,,,,,,,
202510,spring 2025,13947,JST 151-010,,"Judaism, Medicine, & Bioethics","This class traces the relationship between Jews and medicine from 1100 to 2020. How does Jewish religion and culture cultivate an affinity for the healing arts? How does Jewish law, ethics, and culture inform contemporary bioethics?",M W,PA 360,,-, ,,-, ,41,45,45,837383695,"Lachter, Hartley",VH,"HMS 151-010 (13948), PHIL 151-010 (13946), REL 151-010 (13945)",Arts & Sciences,,,,,,,
202510,spring 2025,13946,PHIL 151-010,,"Judaism, Medicine, & Bioethics","This class traces the relationship between Jews and medicine from 1100 to 2020. How does Jewish religion and culture cultivate an affinity for the healing arts? How does Jewish law, ethics, and culture inform contemporary bioethics?",M W,PA 360,,-, ,,-, ,41,45,45,837383695,"Lachter, Hartley",VH,"HMS 151-010 (13948), JST 151-010 (13947), REL 151-010 (13945)",Arts & Sciences,,,,,,,
202510,spring 2025,13945,REL 151-010,,"Judaism, Medicine, & Bioethics","This class traces the relationship between Jews and medicine from 1100 to 2020. How does Jewish religion and culture cultivate an affinity for the healing arts? How does Jewish law, ethics, and culture inform contemporary bioethics?",M W,PA 360,,-, ,,-, ,41,45,45,837383695,"Lachter, Hartley",VH,"HMS 151-010 (13948), JST 151-010 (13947), PHIL 151-010 (13946)",Arts & Sciences,,,,,,,
202510,spring 2025,15262,JST 156-010,,Judaism and Comic Books,"Is The Thing Jewish? What does Superman have to do with the bible? Do Orthodox Jewish girls fight trolls? In this course, we will closely examine comic books and graphic novels in order to expand our understanding of what Jewishness might mean. With a POW! and a BAM!, we will consider many topics “from Krakow to Krypton,” including American Jewish history, how representations of Jews are gendered, global Jewish traditions, monsters and mutations, biblical adaptations, and more!",M W,MG 102,,-, ,,-, ,42,41,45,847276375,"Eichler-Levine, Jodi",VJ,REL 156-010 (15257),Arts & Sciences,,,,,,,
202510,spring 2025,15257,REL 156-010,,Judaism and Comic Books,"Is The Thing Jewish? What does Superman have to do with the bible? Do Orthodox Jewish girls fight trolls? In this course, we will closely examine comic books and graphic novels in order to expand our understanding of what Jewishness might mean. With a POW! and a BAM!, we will consider many topics “from Krakow to Krypton,” including American Jewish history, how representations of Jews are gendered, global Jewish traditions, monsters and mutations, biblical adaptations, and more!",M W,MG 102,,-, ,,-, ,42,41,45,847276375,"Eichler-Levine, Jodi",VJ,JST 156-010 (15262),Arts & Sciences,,,,,,,
202510,spring 2025,15267,ASIA 172-010,"HE, HU, W",Tibetan Buddhism and Society,"This course examines the history, rituals, practices and art of the Tibetan Buddhist world, and the interaction of Tibetan Buddhism with the Tibetan Bon religion and Tibetan Islam. Students will explore film, autobiography, visual arts, and religious writings, asking, How has Tibetan Buddhism shaped Tibetan societies, as well as neighboring cultures in East Asia and Inner Asia? In what ways is Tibetan Buddhism now a global religion?",M W,WI 080,,-, ,,-, ,17,19,19,820842640,"Pitkin, Annabella",VK,REL 172-010 (15263),Arts & Sciences,,,,,,,
202510,spring 2025,15263,REL 172-010,,Tibetan Buddhism and Society,"This course examines the history, rituals, practices and art of the Tibetan Buddhist world, and the interaction of Tibetan Buddhism with the Tibetan Bon religion and Tibetan Islam. Students will explore film, autobiography, visual arts, and religious writings, asking, How has Tibetan Buddhism shaped Tibetan societies, as well as neighboring cultures in East Asia and Inner Asia? In what ways is Tibetan Buddhism now a global religion?",M W,WI 080,,-, ,,-, ,17,19,19,820842640,"Pitkin, Annabella",VK,ASIA 172-010 (15267),Arts & Sciences,,,,,,,
202510,spring 2025,15274,JST 177-010,,Jews and the Broadway Musical,"The history of American musical theater is deeply interwoven with the history of American Jews. This course examines how Jews have taken part in musical theater on multiple levels-as composers, lyricists, producers, and performers, among other roles. It also examines how Jews are depicted in Broadway musicals, with particular attention to gender and ethnicity.",M W,NV 003,,-, ,,-, ,44,42,45,847276375,"Eichler-Levine, Jodi",VL,"REL 177-010 (15272), THTR 177-010 (15275)",Arts & Sciences,,,,,,,
202510,spring 2025,15272,REL 177-010,,Jews and the Broadway Musical,"The history of American musical theater is deeply interwoven with the history of American Jews. This course examines how Jews have taken part in musical theater on multiple levels-as composers, lyricists, producers, and performers, among other roles. It also examines how Jews are depicted in Broadway musicals, with particular attention to gender and ethnicity.",M W,NV 003,,-, ,,-, ,44,42,45,847276375,"Eichler-Levine, Jodi",VL,"JST 177-010 (15274), THTR 177-010 (15275)",Arts & Sciences,,,,,,,
202510,spring 2025,15275,THTR 177-010,,Jews and the Broadway Musical,"The history of American musical theater is deeply interwoven with the history of American Jews. This course examines how Jews have taken part in musical theater on multiple levels-as composers, lyricists, producers, and performers, among other roles. It also examines how Jews are depicted in Broadway musicals, with particular attention to gender and ethnicity.",M W,NV 003,,-, ,,-, ,44,42,45,847276375,"Eichler-Levine, Jodi",VL,"JST 177-010 (15274), REL 177-010 (15272)",Arts & Sciences,,,,,,,
202510,spring 2025,13166,ASIA 254-010,"CC, HE, HU, W",Buddhism And Ecology,"Buddhism’s intellectual, ethical, and spiritual resources are re-examined in light of contemporary environmental problems. Is Buddhism the most green of the major world religions? What are the moral implications of actions that affect the environment?",M W,WI 080,,-, ,,-, ,19,19,19,820842640,"Pitkin, Annabella",VM,"ETH 254-010 (13169), EVST 254-010 (13356), REL 254-010 (13165)",Arts & Sciences,,,,,,,
202510,spring 2025,13169,ETH 254-010,,Buddhism and Ecology,"Buddhism’s intellectual, ethical, and spiritual resources are re-examined in light of contemporary environmental problems. Is Buddhism the most green of the major world religions? What are the moral implications of actions that affect the environment?",M W,WI 080,,-, ,,-, ,19,19,19,820842640,"Pitkin, Annabella",VM,"ASIA 254-010 (13166), EVST 254-010 (13356), REL 254-010 (13165)",Arts & Sciences,,,,,,,
202510,spring 2025,13356,EVST 254-010,,Buddhism and Ecology,"Buddhism’s intellectual, ethical, and spiritual resources are re-examined in light of contemporary environmental problems. Is Buddhism the most green of the major world religions? What are the moral implications of actions that affect the environment?",M W,WI 080,,-, ,,-, ,19,19,19,820842640,"Pitkin, Annabella",VM,"ASIA 254-010 (13166), ETH 254-010 (13169), REL 254-010 (13165)",Arts & Sciences,,,,,,,
202510,spring 2025,13165,REL 254-010,,Buddhism And Ecology,"Buddhism’s intellectual, ethical, and spiritual resources are re-examined in light of contemporary environmental problems. Is Buddhism the most green of the major world religions? What are the moral implications of actions that affect the environment?",M W,WI 080,,-, ,,-, ,19,19,19,820842640,"Pitkin, Annabella",VM,"ASIA 254-010 (13166), ETH 254-010 (13169), EVST 254-010 (13356)",Arts & Sciences,,,,,,,
202510,spring 2025,12888,ETH 105-010,,Ethics,"Examination of right and wrong, good and bad, from classic sources such as Plato, Aristotle, Hume, Kant, Mill and Nietzsche.",M W,MG 270,,-, ,,-, ,30,30,35,801525154,"Kautzer, Chad",VN,PHIL 105-010 (12887),Arts & Sciences,,,,,,,
202510,spring 2025,12887,PHIL 105-010,,Ethics,"Examination of right and wrong, good and bad, from classic sources such as Plato, Aristotle, Hume, Kant, Mill and Nietzsche.",M W,MG 270,,-, ,,-, ,30,30,35,801525154,"Kautzer, Chad",VN,ETH 105-010 (12888),Arts & Sciences,,,,,,,
202510,spring 2025,13237,MATH 114-010,,Metalogic,"This is a course on the metatheory of First-Order Predicate Logic. It offers expositions of some of the most important results of this metatheory, such as the Soundness and Completeness Theorems, Gödel’s first and second Incompleteness Theorems, Tarski’s Indefinability Theorem, and Church’s Undecidability Theorem. It also offers introductory expositions of set theory, computability theory, and Second-Order Predicate Logic. The course is structured to serve the needs of a mixed audience, including students with no background in symbolic logic.",T R,MG 260,,-, ,,-, ,17,25,25,842425487,"Yaqub, Aladdin",VP,PHIL 114-010 (13235),Arts & Sciences,,,,,,,
202510,spring 2025,13235,PHIL 114-010,,Metalogic,"This is a course on the metatheory of First-Order Predicate Logic. It offers expositions of some of the most important results of this metatheory, such as the Soundness and Completeness Theorems, Gödel’s first and second Incompleteness Theorems, Tarski’s Indefinability Theorem, and Church’s Undecidability Theorem. It also offers introductory expositions of set theory, computability theory, and Second-Order Predicate Logic. The course is structured to serve the needs of a mixed audience, including students with no background in symbolic logic.",T R,MG 260,,-, ,,-, ,17,25,25,842425487,"Yaqub, Aladdin",VP,MATH 114-010 (13237),Arts & Sciences,,,,,,,
202440,fall 2024,43663,BIOS 371-112,,Elements Of Biochemistry I,"A general study of carbohydrates, proteins, lipids, nucleic acids and other biological substances and their importance in life processes. Protein and enzyme chemistry are emphasized. Must have completed one year of organic chemistry.",F,NV 003,,-, ,,-, ,48,65,65,839261312,"Thevenin, Damien",VQ,CHM 371-012 (43673),Arts & Sciences,,,,,,,
202440,fall 2024,43673,CHM 371-012,,Elements Of Biochemistry I,"A general study of carbohydrates, proteins, lipids, nucleic acids and other biological substances and their importance in life processes. Protein and enzyme chemistry are emphasized. Must have completed one year of organic chemistry.",F,NV 003,,-, ,,-, ,48,65,30,839261312,"Thevenin, Damien",VQ,BIOS 371-112 (43663),Arts & Sciences,,,,,,,
202510,spring 2025,12892,ETH 116-010,,Bioethics,"Moral issues that arise in the context of health care and related biomedical fields in the United States today, examined in the light of the nature and foundation of moral rights and obligations. Topics include: confidentiality, informed consent, euthanasia, medical research and experimentation, genetics, and the distribution of health care.",T R,NV 003,,-, ,,-, ,63,65,65,817900860,"Schmidt, Nathan",VQ,"HMS 116-010 (12891), PHIL 116-010 (12889), REL 116-010 (12890)",Arts & Sciences,,,,,,,
202510,spring 2025,12891,HMS 116-010,,Bioethics,"Moral issues that arise in the context of health care and related biomedical fields in the United States today, examined in the light of the nature and foundation of moral rights and obligations. Topics include: confidentiality, informed consent, euthanasia, medical research and experimentation, genetics, and the distribution of health care.",T R,NV 003,,-, ,,-, ,63,65,65,817900860,"Schmidt, Nathan",VQ,"ETH 116-010 (12892), PHIL 116-010 (12889), REL 116-010 (12890)",Arts & Sciences,,,,,,,
202510,spring 2025,12889,PHIL 116-010,,Bioethics,"Moral issues that arise in the context of health care and related biomedical fields in the United States today, examined in the light of the nature and foundation of moral rights and obligations. Topics include: confidentiality, informed consent, euthanasia, medical research and experimentation, genetics, and the distribution of health care.",T R,NV 003,,-, ,,-, ,63,65,65,817900860,"Schmidt, Nathan",VQ,"ETH 116-010 (12892), HMS 116-010 (12891), REL 116-010 (12890)",Arts & Sciences,,,,,,,
202510,spring 2025,12890,REL 116-010,,Bioethics,"Moral issues that arise in the context of health care and related biomedical fields in the United States today, examined in the light of the nature and foundation of moral rights and obligations. Topics include: confidentiality, informed consent, euthanasia, medical research and experimentation, genetics, and the distribution of health care.",T R,NV 003,,-, ,,-, ,63,65,65,817900860,"Schmidt, Nathan",VQ,"ETH 116-010 (12892), HMS 116-010 (12891), PHIL 116-010 (12889)",Arts & Sciences,,,,,,,
202440,fall 2024,43406,BUAN 348-010,,Predictive Analytics in Business ,"The course covers theories and practices in predictive analytics in business. Students will have hands-on experience on analyzing business data for business intelligence and improved business decision making. Includes: key theories, concepts, and models of predictive analytics; and data mining tools to formulate and solve business problems. The course uses data analytics software and real data. Topics include prediction, forecasting, classification, clustering, data-visualization and data reduction techniques. Not available to students who have credit for BIS 448 or BIS 456.",T R,BI 105,,-, ,,-, ,27,35,25,800139087,"Rivera, Michael",VR,BUAN 448-010 (43794),Business,,,,,,,
202440,fall 2024,43794,BUAN 448-010,,Predictive Analytics in Business ,"The course covers theories and practices in predictive analytics in business. Students will have hands-on experience on analyzing business data for business intelligence and improved business decision making. Includes: key theories, concepts, and models of predictive analytics; and data mining tools to formulate and solve business problems. The course uses data analytics software and real data. Topics include prediction, forecasting, classification, clustering, data-visualization and data reduction techniques. Not available to students who have credit for BUAN 348 or BIS 456.",T R,BI 105,,-, ,,-, ,27,35,10,800139087,"Rivera, Michael",VR,BUAN 348-010 (43406),Business,,,,,,,
202510,spring 2025,15295,FILM 120-010,,Philosophy and Film,"This seminar course will explore a variety of themes, genres, and movements within cinema from a philosophical perspective. Regular screenings of films from silent era to present. Content may vary depending upon instructor.",T R,MU 353,,-, ,,-, ,26,25,25,810912765,"Bliss, Ricki",VR,PHIL 120-010 (15293),Arts & Sciences,,,,,,,
202510,spring 2025,15293,PHIL 120-010,,Philosophy and Film,"This seminar course will explore a variety of themes, genres, and movements within cinema from a philosophical perspective. Regular screenings of films from silent era to present. Content may vary depending upon instructor.",T R,MU 353,,-, ,,-, ,26,25,25,810912765,"Bliss, Ricki",VR,FILM 120-010 (15295),Arts & Sciences,,,,,,,
202510,spring 2025,13245,COGS 250-010,,Philosophy of Mind,"An exploration of the mind-body problem. Are the body and mind distinct substances (dualism); or is there only body (materialism); or only mind (idealism)? Other views to be considered include behaviorism (the view that behavior can be explained without recourse to mental states), and the view that the mind is a complex computer. Student must have completed at least one Philosophy course at the 100-level.",M W,MG 260,,-, ,,-, ,27,20,25,878831801,"Bickhard, Mark",VS,PHIL 250-010 (13244),Arts & Sciences,,,,,,,
202510,spring 2025,13244,PHIL 250-010,,Philosophy Of Mind,"An exploration of the mind-body problem. Are the body and mind distinct substances (dualism); or is there only body (materialism); or only mind (idealism)? Other views to be considered include behaviorism (the view that behavior can be explained without recourse to mental states), and the view that the mind is a complex computer. Student must have completed at least one Philosophy course at the 100-level.",M W,MG 260,,-, ,,-, ,27,20,25,878831801,"Bickhard, Mark",VS,COGS 250-010 (13245),Arts & Sciences,,,,,,,
202440,fall 2024,45642,ME 385-010,,Polymer Prod Manufacturing,"Polymer processes such as injection molding through a combination of theory development, practical analysis, and utilization of commercial software. Polymer chemistry and structure, material rheological behavior, processing kinetics, molecular orientation development, process simulation software development, manufacturing defects, manufacturing window establishment, manufacturing process design, manufacturing process optimization. Must have senior level standing in engineering or science. Credit not given for both ME 385 and ME 485.",,ONLINE ,,-, ,,-, ,12,10,10,800076232,"Arronche De Castro, Luciana",VT,ME 485-010 (45643),Engineering,,,,,,,
202440,fall 2024,45643,ME 485-010,,Polymer Product Manufacturing,"An exploration of the science underlying polymer processes such as injection molding through a combination of theory development, practical analysis, and utilization of commercial software. Polymer chemistry and structure, material rheological behavior, processing kinetics, molecular orientation development, process simulation software development, manufacturing defects, manufacturing window establishment, manufacturing process design, manufacturing process optimization. This course is a version of ME 385 for graduate students, with research projects and advanced assignments. Closed to students who have taken ME 385. Must have graduate level standing in engineering or science.",,ONLINE ,,-, ,,-, ,12,10,10,800076232,"Arronche De Castro, Luciana",VT,ME 385-010 (45642),Engineering,,,,,,,
202510,spring 2025,15544,THTR 097-012,,Musical Theatre,"An interactive exploration of the art form of Music Theatre through the performance styles, histories and techniques from its origins to the present day. This course is designed for anyone interested in expanding their skills in and understanding of Music Theatre, regardless of previous experience or training, and will culminate in a cabaret-style performance for invited students, faculty and guests at the end of the term. Core topics of study include:  Singing, acting and dance styles and approaches. Interpreting music, lyrics and movement as elements of storytelling in musicals. Select performances, people and institutions that reflect the evolving craft and culture of music theatre.  Students are required to participate in learning, workshopping and performing songs, scenes and choreography from the music theatre canon both during class time and at final performance. The performance-based activities in this course are designed with a broad range of accessibility in mind, and students will be assessed based on the quality of their engagement with the process and successful application of course concepts, NOT on technical skill or innate ability.",M W,ZA 121,,-, ,,-, ,14,14,14,800096392,"Chory, Cristine",VT,MUS 097-012 (15580),Arts & Sciences,,,,,,,
202440,fall 2024,45361,CAT 403-010,,Mathematics of Actuarial Science ,"Introduces tools from financial mathematics necessary for insurance applications. It presents the basic mathematics of interest rates and investments, such as present value, annuity calculations, and bond valuation. An introduction to modeling claims with Markov chains and Poisson processes will be presented. In a second part, the course will also introduce some of the standard models used in risk modeling, such as no-arbitrage pricing for derivatives and the Black-Scholes model. Fixed-income markets models are also discussed briefly.",T R,CU 216,,-, ,,-, ,6,30,30,864327827,"Conus, Daniel",VV,"CAT 403-011 (45363), MATH 395-010 (44157), MATH 395-011 (44158), MATH 395-012 (44664), MATH 395-013 (44665)",Integrated,,,,,,,
202440,fall 2024,44157,MATH 395-010,,Actuarial Mathematics,"Introduces tools from financial mathematics necessary for insurance applications. It presents the basic mathematics of interest rates and investments, such as present value, annuity calculations, and bond valuation. An introduction to modeling claims with Markov chains and Poisson processes will be presented. In a second part, the course will also introduce some of the standard models used in risk modeling, such as no-arbitrage pricing for derivatives and the Black-Scholes model. Fixed-income markets models are also discussed briefly. The course will focus on the interpretation of the models, and some practical numerical aspects.",T R,CU 216,,-, ,,-, ,6,30,15,864327827,"Conus, Daniel",VV,"CAT 403-010 (45361), CAT 403-011 (45363), MATH 395-011 (44158), MATH 395-012 (44664), MATH 395-013 (44665)",Arts & Sciences,,,,,,,
202440,fall 2024,44664,MATH 395-012,,Actuarial Mathematics,"Introduces tools from financial mathematics necessary for insurance applications. It presents the basic mathematics of interest rates and investments, such as present value, annuity calculations, and bond valuation. An introduction to modeling claims with Markov chains and Poisson processes will be presented. In a second part, the course will also introduce some of the standard models used in risk modeling, such as no-arbitrage pricing for derivatives and the Black-Scholes model. Fixed-income markets models are also discussed briefly. The course will focus on the interpretation of the models, and some practical numerical aspects.",T R,CU 216,,-, ,,-, ,6,30,15,864327827,"Conus, Daniel",VV,"CAT 403-010 (45361), CAT 403-011 (45363), MATH 395-010 (44157), MATH 395-011 (44158), MATH 395-013 (44665)",Arts & Sciences,,,,,,,
202510,spring 2025,13575,BZX 002-022,,Student to Professional Co-Curriculum Tier 14,"The Student to Professional (STP) Co-Curriculum is a required, non-graded experience focused on academic success and professional preparation for all undergraduate students in business programs (BSBU, CSB, and IBE). In STP Tier 2, students gain understanding of basic professional development skills and resources through a small-group experience facilitated by faculty and staff volunteers, with the goal of providing equitable scaffolding to help students prepare for subsequent, more independent engagement in the sophomore-level co-curriculum.",W,RB 241,,-, ,,-, ,22,22,20,870416201,"Henry, Gregg",VV,BZX 002-023 (13576),Business,,,,,,,
202510,spring 2025,13576,BZX 002-023,,Student to Professional Co-Curriculum Tier 15,"The Student to Professional (STP) Co-Curriculum is a required, non-graded experience focused on academic success and professional preparation for all undergraduate students in business programs (BSBU, CSB, and IBE). In STP Tier 2, students gain understanding of basic professional development skills and resources through a small-group experience facilitated by faculty and staff volunteers, with the goal of providing equitable scaffolding to help students prepare for subsequent, more independent engagement in the sophomore-level co-curriculum.",W,RB 241,,-, ,,-, ,22,22,20,870416201,"Henry, Gregg",VV,BZX 002-022 (13575),Business,,,,,,,
202440,fall 2024,44697,CSE 367-010,,Blockchain Projects,"Independent or small-group unique projects related to blockchain systems and/or applications. While pursuing their own project, students serve as consultants to the other teams via a once-weekly class meeting in which each team presents updates on status, progress, and open problems, and one student gives a longer prepared presentation on current research or development results in the blockchain field. Each project team has its own separate second weekly meeting with the instructor for a more in-depth project review and discussion.",F,RB 141,,-, ,,-, ,10,12,12,867091929,"Korth, Henry",VW,CSE 467-010 (44698),Engineering,,,,,,,
202440,fall 2024,44698,CSE 467-010,,Blockchain Projects,"Independent or small-group graduate-level unique projects related to blockchain-systems and/or applications. While pursuing their own project, students serve as consultants to the other teams via a once-weekly class meeting in which each team presents updates on status, progress, and open problems, and one student gives a longer prepared presentation on current research or development results in the blockchain field. Each project team has its own separate second weekly meeting with the instructor for a more in-depth project review and discussion.",F,RB 141,,-, ,,-, ,10,12,12,867091929,"Korth, Henry",VW,CSE 367-010 (44697),Engineering,,,,,,,
202510,spring 2025,13577,BZX 002-024,,Student to Professional Co-Curriculum Tier 16,"The Student to Professional (STP) Co-Curriculum is a required, non-graded experience focused on academic success and professional preparation for all undergraduate students in business programs (BSBU, CSB, and IBE). In STP Tier 2, students gain understanding of basic professional development skills and resources through a small-group experience facilitated by faculty and staff volunteers, with the goal of providing equitable scaffolding to help students prepare for subsequent, more independent engagement in the sophomore-level co-curriculum.",W,BI 221,,-, ,,-, ,24,24,20,864906760,"Guynn, Kathryn",VW,"BZX 002-025 (15203), BZX 002-026 (13578)",Business,,,,,,,
